first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type
Pascal,Groß,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,65,MID
Jack,Hinshelwood,1,0,27,783,12,104.8,101.8,59.0,3,124,26.7,3,0,2,0.1,50,MID
Ibrahim,Osman,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,MID
Igor Julio,dos Santos de Paulo,0,0,8,384,6,7.8,56.4,4.0,0,53,6.8,1,0,2,0.1,44,DEF
João Pedro,Junqueira de Jesus,2,0,19,280,2,50.6,98.8,97.0,5,87,24.6,1,0,1,6.6,54,FWD
Kacper,Kozłowski,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Tariq,Lamptey,0,1,3,10,2,10.4,22.2,0.0,0,5,3.3,0,0,0,0.2,44,DEF
Solly,March,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,65,MID
Adrian,Mazilu,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
James,Milner,0,0,5,169,1,66.3,28.6,12.0,0,24,10.7,1,0,1,0.0,50,MID
Yankuba,Minteh,1,2,21,405,5,129.2,90.2,107.0,0,74,32.6,1,0,2,0.7,53,MID
Mitoma,Kaoru,1,3,36,825,13,173.9,159.0,286.0,1,149,61.9,2,0,0,5.7,65,MID
Jakub,Moder,0,0,1,3,0,0.0,0.0,0.0,0,4,0.0,0,0,0,1.0,44,MID
Mark,O’Mahony,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,45,FWD
Odeluga,Offiah,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,DEF
Cameron,Peupion,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,MID
Jeremy,Sarmiento Morante,0,0,1,8,0,0.8,0.2,0.0,0,3,0.1,0,0,0,0.0,49,MID
Jason,Steele,0,0,9,180,1,0.0,40.4,0.0,1,46,4.1,1,0,0,1.3,43,GK
Deniz,Undav,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,55,FWD
Jan Paul,van Hecke,0,1,22,639,8,44.4,138.6,18.0,0,111,20.2,2,0,1,0.5,45,DEF
Joël,Veltman,0,0,30,776,10,58.2,106.8,16.0,5,124,18.2,3,0,1,3.4,45,DEF
Bart,Verbruggen,0,0,25,720,13,0.0,202.6,0.0,2,111,20.3,2,0,2,1.9,45,GK
Adam,Webster,0,0,1,78,4,1.8,20.4,2.0,0,7,2.4,0,0,0,0.1,43,DEF
Danny,Welbeck,6,2,62,838,12,128.0,254.8,312.0,13,233,69.5,4,0,1,19.8,59,FWD
Mats,Wieffer,0,1,12,233,7,41.8,59.6,19.0,0,40,11.9,1,0,0,0.1,48,MID
Brajan,Gruda,0,0,3,35,2,0.1,4.0,4.0,0,5,0.8,0,0,0,0.0,54,MID
Yasin,Ayari,0,0,14,444,5,119.2,66.4,62.0,0,72,24.9,2,0,1,0.0,50,MID
Andrew,Moran,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,MID
Carl,Rushworth,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,GK
Georginio,Rutter,2,3,38,538,10,117.4,119.0,140.0,1,104,37.0,3,0,1,1.5,55,MID
Ferdi,Kadioglu,1,0,19,385,8,63.1,59.8,17.0,0,59,14.0,2,0,1,0.2,45,DEF
Matt,O'Riley,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,55,MID
Imari,Samuels,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Killian,Cahill,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK
Andrey,Nascimento dos Santos,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Ângelo Gabriel,Borges Damaceno,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,45,MID
Benoît,Badiashile,0,0,1,37,0,0.9,8.2,0.0,0,11,0.9,0,0,0,0.1,43,DEF
Lucas,Bergström,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,40,GK
Marcus,Bettinelli,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,40,GK
Moisés,Caicedo Corozo,0,2,24,795,11,147.4,183.0,19.0,0,155,35.0,2,0,2,1.0,49,MID
Cesare,Casadei,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,MID
Ben,Chilwell,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.5,47,DEF
Carney,Chukwuemeka,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,48,MID
Levi,Colwill,0,0,21,810,11,38.7,167.4,34.0,1,108,24.1,2,0,2,3.0,46,DEF
Marc,Cucurella Saseta,0,0,16,602,7,36.5,95.8,14.0,0,90,14.6,2,0,5,4.2,50,DEF
David Datro,Fofana,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,54,FWD
Deivid Washington,de Souza Eugênio,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,50,FWD
Kiernan,Dewsbury-Hall,0,0,3,44,1,12.4,7.4,0.0,0,9,2.0,0,0,0,0.1,56,MID
Axel,Disasi,0,0,7,94,0,1.5,13.0,0.0,0,29,1.5,1,0,0,0.3,43,DEF
Enzo,Fernández,0,0,14,566,8,160.3,85.2,57.0,0,89,30.3,1,0,1,1.2,48,MID
Conor,Gallagher,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,59,MID
Alfie,Gilchrist,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Malo,Gusto,0,0,9,600,11,63.1,87.4,51.0,0,47,20.2,0,0,1,1.6,49,DEF
Reece,James,0,0,2,142,3,16.2,27.2,0.0,0,18,4.3,0,0,0,0.5,49,DEF
Omari,Kellyman,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,44,MID
Roméo,Lavia,0,1,8,199,4,35.4,52.0,0.0,0,51,8.8,0,0,1,0.9,45,MID
Romelu,Lukaku Bolingoli,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,63,FWD
Malang,Sarr,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,DEF
Noni,Madueke,4,1,46,617,9,132.7,194.4,329.0,6,163,65.7,2,0,1,8.3,65,MID
Marc,Guiu Paz,0,0,1,24,1,0.3,0.0,0.0,0,2,0.0,0,0,0,0.6,48,FWD
Mykhailo,Mudryk,0,0,5,104,2,29.8,20.0,19.0,0,23,6.8,0,0,0,0.2,62,MID
Nicolas,Jackson,6,3,57,688,10,126.6,278.2,335.0,9,231,74.0,2,0,3,17.8,79,FWD
Christopher,Nkunku,1,0,14,151,1,51.4,62.8,112.0,1,51,22.4,0,0,1,2.6,59,MID
Cole,Palmer,7,5,79,775,11,336.3,409.4,241.0,12,322,98.8,2,0,3,56.2,110,MID
Đorđe,Petrović,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,44,GK
Renato,Palma Veiga,0,0,5,164,1,8.4,30.4,19.0,0,17,5.8,1,0,2,0.2,45,MID
Robert,Sánchez,0,0,39,810,11,0.0,286.0,0.0,5,154,28.5,2,0,2,11.6,47,GK
Tosin,Adarabioyo,0,0,7,171,2,11.7,38.6,0.0,0,42,5.1,1,0,1,0.2,43,DEF
Wesley,Fofana,0,0,12,686,9,51.8,133.0,16.0,2,77,20.2,1,0,6,0.5,45,DEF
Jadon,Sancho,0,4,19,305,4,116.5,75.8,41.0,1,79,23.3,0,0,1,1.4,63,MID
Pedro,Lomba Neto,0,2,14,375,4,174.8,90.0,67.0,1,70,33.2,0,0,3,0.7,62,MID
Caleb,Wiley,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Filip,Jørgensen,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,43,GK
João,Félix Sequeira,1,0,9,118,0,19.9,45.0,57.0,0,33,12.1,0,0,1,0.5,61,MID
Eddie,Nketiah,0,0,12,477,8,61.9,34.4,138.0,0,58,23.2,1,0,1,0.7,59,FWD
Trevoh,Chalobah,1,0,19,339,4,16.6,58.8,42.0,2,65,11.8,1,0,0,0.3,44,DEF
Naouirou,Ahamada,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,MID
Cheick,Doucouré,0,1,6,91,1,5.9,17.6,6.0,0,20,2.9,0,0,0,0.1,49,MID
Chris,Richards,0,0,9,343,5,3.6,56.8,6.0,0,35,6.7,1,0,1,0.1,44,DEF
Chadi,Riad Dnanou,0,0,1,90,2,1.3,18.2,0.0,0,3,2.0,0,0,0,0.1,43,DEF
Nathaniel,Clyne,0,0,9,226,3,2.9,31.4,3.0,0,37,3.7,1,0,0,0.1,44,DEF
Malcolm,Ebiowei,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Eberechi,Eze,1,1,31,810,11,252.9,158.2,266.0,3,144,67.6,2,0,0,11.1,67,MID
Marc,Guéhi,1,0,30,882,13,39.8,267.4,56.0,2,140,36.4,2,0,1,6.7,44,DEF
Dean,Henderson,0,0,33,882,13,0.0,229.2,4.0,3,117,23.3,2,0,1,10.6,44,GK
Rob,Holding,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,43,DEF
Will,Hughes,0,0,10,446,7,110.1,65.2,30.0,0,46,20.4,1,0,4,0.0,49,MID
Daichi,Kamada,0,0,15,523,9,108.2,74.0,50.0,0,69,23.3,1,0,2,0.2,51,MID
Jefferson,Lerma Solís,0,0,9,414,5,56.2,55.4,18.0,0,51,13.0,1,0,3,0.1,48,MID
Jean-Philippe,Mateta,3,0,33,644,10,89.5,115.2,131.0,6,122,33.2,1,0,1,3.1,73,FWD
Matheus,França de Oliveira,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.5,44,MID
Remi,Matthews,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.6,40,GK
Tyrick,Mitchell,0,1,25,832,13,151.7,165.2,44.0,0,126,36.2,2,0,0,1.7,49,DEF
Daniel,Muñoz,0,1,22,798,13,135.7,142.0,87.0,0,88,36.5,2,0,3,1.7,48,DEF
David,Ozoh,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
